Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y2019,Y2020,Y2021,Y2022,Y2023
231,'840,United States of America,221,'01371,"Almonds, in shell",5312,Area harvested,ha,477530,505863,530144,546332,558472
231,'840,United States of America,221,'01371,"Almonds, in shell",5412,Yield,kg/ha,4006.4,4635.8,4158.1,3421.3,3208.2
231,'840,United States of America,221,'01371,"Almonds, in shell",5510,Production,t,1913160,2345070,2204370,1869160,1791690
231,'840,United States of America,515,'01341,Apples,5312,Area harvested,ha,119301,119707,121205,122338,120233
231,'840,United States of America,515,'01341,Apples,5412,Yield,kg/ha,42149.8,38971.8,37694.9,36984.3,42847.5
231,'840,United States of America,515,'01341,Apples,5510,Production,t,5028526.46,4665199,4568810,4524590,5151680
231,'840,United States of America,526,'01343,Apricots,5312,Area harvested,ha,3880,3424,2958,2546,2404
231,'840,United States of America,526,'01343,Apricots,5412,Yield,kg/ha,11994.8,8271,12254.9,10353.5,13519.1
231,'840,United States of America,526,'01343,Apricots,5510,Production,t,46540,28320,36250,26360,32500
231,'840,United States of America,366,'01216,Artichokes,5312,Area harvested,ha,2671,2064,1943,1983,1740
231,'840,United States of America,366,'01216,Artichokes,5412,Yield,kg/ha,16252.4,16812,18489.4,17372.7,20177
231,'840,United States of America,366,'01216,Artichokes,5510,Production,t,43409,34700,35925,34450,35108
231,'840,United States of America,367,'01211,Asparagus,5312,Area harvested,ha,8256,7284,6637,6556,6354
231,'840,United States of America,367,'01211,Asparagus,5412,Yield,kg/ha,4082.3,3880.8,5412.8,5254.7,5525.3
231,'840,United States of America,367,'01211,Asparagus,5510,Production,t,33702,28268,35925,34450,35108
231,'840,United States of America,1107,'02132,Asses,5111,Stocks,An,51976,51975,51975,51974,51973
231,'840,United States of America,572,'01311,Avocados,5312,Area harvested,ha,21416,21335,21432,20935,21117
231,'840,United States of America,572,'01311,Avocados,5412,Yield,kg/ha,5727.9,8785.2,6395.1,6796.8,5535.4
231,'840,United States of America,572,'01311,Avocados,5510,Production,t,122669.56,187433.49,137060,142290,116890
231,'840,United States of America,486,'01312,Bananas,5312,Area harvested,ha,348,338,330,324,320
231,'840,United States of America,486,'01312,Bananas,5412,Yield,kg/ha,9907.2,10267.4,10991.3,10843.9,11042.2
231,'840,United States of America,486,'01312,Bananas,5510,Production,t,3452.33,3470.47,3624.27,3515.69,3536.81
231,'840,United States of America,44,'0115,Barley,5312,Area harvested,ha,898820,895980,806950,981370,1033980
231,'840,United States of America,44,'0115,Barley,5412,Yield,kg/ha,4178.5,4150.8,3253.7,3858.5,3896.3
231,'840,United States of America,44,'0115,Barley,5510,Production,t,3755720,3719010,2625600,3786660,4028680
231,'840,United States of America,176,'01701,"Beans, dry",5312,Area harvested,ha,465427,665880,529010,489480,460910
231,'840,United States of America,176,'01701,"Beans, dry",5412,Yield,kg/ha,1976.8,2200.7,1901.6,2370.6,2325
231,'840,United States of America,176,'01701,"Beans, dry",5510,Production,t,920064,1465376,1005978,1160375,1071613
231,'840,United States of America,51,'24310.01,"Beer of barley, malted",5510,Production,t,21088400,20381300,20420000,20451500,
231,'840,United States of America,1181,'02196,Bees,5114,Stocks,No,2812000,2706000,2697000,2667000,2509000
231,'840,United States of America,1183,'02960.01,Beeswax,5510,Production,t,1585.32,1589.7,1592.97,1591.38,1589.8
231,'840,United States of America,552,'01355.01,Blueberries,5312,Area harvested,ha,47591,47308,55119,52286,51315
231,'840,United States of America,552,'01355.01,Blueberries,5412,Yield,kg/ha,7191.1,6669.5,6865,6729.3,6502.2
231,'840,United States of America,552,'01355.01,Blueberries,5510,Production,t,342230,315520,378390,351850,333660
231,'840,United States of America,420,'01243,"Broad beans and horse beans, green",5312,Area harvested,ha,16281,16325,16202,16269,16265
231,'840,United States of America,420,'01243,"Broad beans and horse beans, green",5412,Yield,kg/ha,2648.4,2659,2705.1,2684.2,2675.1
231,'840,United States of America,420,'01243,"Broad beans and horse beans, green",5510,Production,t,43119.66,43407.1,43826.93,43669.23,43511.53
231,'840,United States of America,89,'01192,Buckwheat,5312,Area harvested,ha,81800,81787,82456,82922,83465
231,'840,United States of America,89,'01192,Buckwheat,5412,Yield,kg/ha,1048.9,1050.4,1052.1,1053.8,1038.5
231,'840,United States of America,89,'01192,Buckwheat,5510,Production,t,85802.84,85906.64,86752.85,87379.98,86679.82
231,'840,United States of America,949,'21513,"Buffalo fat, unrendered",5510,Production,t,,,,,
231,'840,United States of America,949,'21513,"Buffalo fat, unrendered",5320,Producing Animals/Slaughtered,An,,,,,
231,'840,United States of America,886,'22241.01,Butter of cow milk,5510,Production,t,904521,973141,935636,933830,
231,'840,United States of America,899,'22230.04,"Buttermilk, dry",5510,Production,t,53641,57518,59736,62698,
231,'840,United States of America,358,'01212,Cabbages,5312,Area harvested,ha,24443,23472,21894,21287,20922
231,'840,United States of America,358,'01212,Cabbages,5412,Yield,kg/ha,41269.2,45542.8,42314.8,46882.8,46031.4
231,'840,United States of America,358,'01212,Cabbages,5510,Production,t,1008744,1068981,926440,997994,963068
231,'840,United States of America,568,'01229,Cantaloupes and other melons,5312,Area harvested,ha,23553,17928,20679,21368,20963
231,'840,United States of America,568,'01229,Cantaloupes and other melons,5412,Yield,kg/ha,26775.2,33939.8,29663.7,31008.3,28506.7
231,'840,United States of America,568,'01229,Cantaloupes and other melons,5510,Production,t,630629,608472,613416,662586,597585
231,'840,United States of America,426,'01251,Carrots and turnips,5312,Area harvested,ha,29178,28005,25779,30149,26629
231,'840,United States of America,426,'01251,Carrots and turnips,5412,Yield,kg/ha,51762,49813.4,49994.8,48253.9,50009.5
231,'840,United States of America,426,'01251,Carrots and turnips,5510,Production,t,1510304,1395024,1288815,1454807,1331702
231,'840,United States of America,265,'01447,Castor oil seeds,5312,Area harvested,ha,,,,,
231,'840,United States of America,265,'01447,Castor oil seeds,5412,Yield,kg/ha,,,,,
231,'840,United States of America,265,'01447,Castor oil seeds,5510,Production,t,,,,,
231,'840,United States of America,866,'02111,Cattle,5111,Stocks,An,94804701,93793300,93586500,91788700,88841000
231,'840,United States of America,869,'21512,"Cattle fat, unrendered",5510,Production,t,738733.45,738963.46,759551.23,768874.87,732833.08
231,'840,United States of America,869,'21512,"Cattle fat, unrendered",5320,Producing Animals/Slaughtered,An,34264800,33366100,34360100,34811900,33254800
231,'840,United States of America,393,'01213,Cauliflowers and broccoli,5312,Area harvested,ha,60784,57951,66895,70861,62605
231,'840,United States of America,393,'01213,Cauliflowers and broccoli,5412,Yield,kg/ha,19902.2,19517.5,16181,17070.8,16879.4
231,'840,United States of America,393,'01213,Cauliflowers and broccoli,5510,Production,t,1209731,1131056,1082430,1209654,1056734
231,'840,United States of America,108,'01199.90,Cereals n.e.c.,5312,Area harvested,ha,,,,,
231,'840,United States of America,108,'01199.90,Cereals n.e.c.,5510,Production,t,,,,,
231,'840,United States of America,904,'22251.02,Cheese from skimmed cow milk,5510,Production,t,201595.59,211806.54,200000,208863.49,
231,'840,United States of America,901,'22251.01,Cheese from whole cow milk,5510,Production,t,5959034,6005461,6241897,6388614,
